 ,Area,Mean,Min,Max
1,0.040,255,255,255
2,0.116,255,255,255
3,0.154,255,255,255
4,0.170,255,255,255
5,0.135,255,255,255
6,0.136,255,255,255
7,0.262,255,255,255
8,0.184,255,255,255
9,0.134,255,255,255
10,0.199,255,255,255
11,0.114,255,255,255
12,0.140,255,255,255
13,0.164,255,255,255
14,0.164,255,255,255
15,0.145,255,255,255
16,0.198,255,255,255
17,0.144,255,255,255
18,0.129,255,255,255
19,0.151,255,255,255
20,0.020,255,255,255
21,0.130,255,255,255
22,0.142,255,255,255
23,0.134,255,255,255
24,0.132,255,255,255
25,0.133,255,255,255
26,0.141,255,255,255
27,0.144,255,255,255
28,0.134,255,255,255
29,0.124,255,255,255
30,0.144,255,255,255
31,0.136,255,255,255
32,0.125,255,255,255
33,0.148,255,255,255
34,0.145,255,255,255
35,0.150,255,255,255
36,0.132,255,255,255
37,0.083,255,255,255
38,0.143,255,255,255
39,0.071,255,255,255
40,0.157,255,255,255
41,0.151,255,255,255
42,0.048,255,255,255
43,0.132,255,255,255
44,0.044,255,255,255
45,0.153,255,255,255
46,0.152,255,255,255
47,0.093,255,255,255
48,0.169,255,255,255
49,0.213,255,255,255
50,0.225,255,255,255
51,0.188,255,255,255
52,0.153,255,255,255
53,0.152,255,255,255
54,0.253,255,255,255
55,0.124,255,255,255
56,0.167,255,255,255
57,0.143,255,255,255
58,0.154,255,255,255
59,0.148,255,255,255
60,0.152,255,255,255
61,0.137,255,255,255
62,0.146,255,255,255
63,0.140,255,255,255
64,0.164,255,255,255
65,0.141,255,255,255
66,0.114,255,255,255
67,0.150,255,255,255
68,0.141,255,255,255
69,0.113,255,255,255
70,0.152,255,255,255
71,0.150,255,255,255
72,0.164,255,255,255
73,0.131,255,255,255
74,0.049,255,255,255
75,0.183,255,255,255
76,0.249,255,255,255
77,0.121,255,255,255
78,0.145,255,255,255
79,0.131,255,255,255
80,0.145,255,255,255
81,0.138,255,255,255
82,0.149,255,255,255
83,0.119,255,255,255
84,0.150,255,255,255
85,0.193,255,255,255
86,0.131,255,255,255
87,0.194,255,255,255
88,0.205,255,255,255
89,0.140,255,255,255
90,0.152,255,255,255
91,0.229,255,255,255
92,0.187,255,255,255
93,0.162,255,255,255
94,0.173,255,255,255
95,0.167,255,255,255
96,0.135,255,255,255
97,0.145,255,255,255
98,0.054,255,255,255
99,0.111,255,255,255
100,0.208,255,255,255
101,0.175,255,255,255
102,0.237,255,255,255
103,0.143,255,255,255
104,0.152,255,255,255
105,0.133,255,255,255
106,0.130,255,255,255
107,0.166,255,255,255
108,0.130,255,255,255
109,0.137,255,255,255
110,0.147,255,255,255
111,0.239,255,255,255
112,0.147,255,255,255
113,0.217,255,255,255
114,0.141,255,255,255
115,0.151,255,255,255
116,0.209,255,255,255
117,0.146,255,255,255
118,0.190,255,255,255
119,0.146,255,255,255
120,0.158,255,255,255
121,0.131,255,255,255
122,0.127,255,255,255
123,0.148,255,255,255
